x,y,z,fp_x,fp_y,fp_z,B.tot,B.tot.mag,B.canc,B.canc.mag,B.RMF,B.RMF.mag,is.rot
-0.07,-0.05,0.06,0.0,1.0,0.0,,,,0.005562,[-0.00142409  0.00152869 -0.00084624],0.002254,False
-0.07,-0.05,0.07,0.0,1.0,0.0,,,,0.007074,[-0.00170768  0.00176505 -0.00078569],0.002579,False
-0.07,-0.04,-0.07,0.0,1.0,0.0,,,,0.001237,[-7.14853409e-05  1.73679970e-04 -1.43001228e-04],0.000236,False
-0.07,-0.04,-0.06,0.0,1.0,0.0,,,,0.001281,[-8.89359986e-05  2.07828492e-04 -1.69412190e-04],0.000282,False
-0.07,-0.04,-0.05,0.0,1.0,0.0,,,,0.001322,[-0.00011076  0.00024858 -0.0002002 ],0.000338,False
-0.07,-0.04,-0.04,0.0,1.0,0.0,,,,0.001358,[-0.00013803  0.00029718 -0.00023577],0.000404,False
-0.07,-0.04,-0.03,0.0,1.0,0.0,,,,0.001392,[-0.000172    0.00035507 -0.00027642],0.000482,False
-0.07,-0.04,-0.02,0.0,1.0,0.0,,,,0.001427,[-0.0002142   0.00042387 -0.00032218],0.000574,False
-0.07,-0.04,-0.01,0.0,1.0,0.0,,,,0.001475,[-0.00026638  0.00050535 -0.00037273],0.000682,False
-0.07,-0.04,0.0,0.0,1.0,0.0,,,,0.001556,[-0.00033051  0.00060138 -0.00042714],0.000808,False
-0.07,-0.04,0.01,0.0,1.0,0.0,,,,0.001705,[-0.00040877  0.00071376 -0.00048362],0.000954,False
-0.07,-0.04,0.02,0.0,1.0,0.0,,,,0.001968,[-0.00050342  0.00084405 -0.00053923],0.001121,False
-0.07,-0.04,0.03,0.0,1.0,0.0,,,,0.002395,[-0.00061666  0.00099317 -0.00058951],0.001309,False
-0.07,-0.04,0.04,0.0,1.0,0.0,,,,0.003031,[-0.00075047  0.00116096 -0.000628  ],0.001518,False
-0.07,-0.04,0.05,0.0,1.0,0.0,,,,0.003908,[-0.0009062   0.0013454  -0.00064584],0.001746,False
-0.07,-0.04,0.06,0.0,1.0,0.0,,,,0.005031,[-0.00108415  0.00154164 -0.00063121],0.001988,False
-0.07,-0.04,0.07,0.0,1.0,0.0,,,,0.006358,[-0.00128263  0.00174049 -0.00056896],0.002236,False
-0.07,-0.03,-0.07,0.0,1.0,0.0,,,,0.001211,[-5.47690664e-05  1.91974011e-04 -1.10213415e-04],0.000228,False
-0.07,-0.03,-0.06,0.0,1.0,0.0,,,,0.001247,[-6.80416750e-05  2.29313218e-04 -1.30373037e-04],0.000272,False
-0.07,-0.03,-0.05,0.0,1.0,0.0,,,,0.001278,[-8.45860520e-05  2.73636264e-04 -1.53764770e-04],0.000325,False
-0.07,-0.03,-0.04,0.0,1.0,0.0,,,,0.001303,[-0.00010517  0.00032614 -0.00018064],0.000387,False
-0.07,-0.03,-0.03,0.0,1.0,0.0,,,,0.001322,[-0.00013069  0.00038814 -0.00021114],0.000461,False
-0.07,-0.03,-0.02,0.0,1.0,0.0,,,,0.001342,[-0.00016222  0.00046105 -0.00024519],0.000547,False
-0.07,-0.03,-0.01,0.0,1.0,0.0,,,,0.001374,[-0.00020095  0.00054632 -0.00028239],0.000647,False
-0.07,-0.03,0.0,0.0,1.0,0.0,,,,0.001443,[-0.00024821  0.00064534 -0.00032188],0.000763,False
-0.07,-0.03,0.01,0.0,1.0,0.0,,,,0.001586,[-0.00030541  0.00075923 -0.00036212],0.000895,False
-0.07,-0.03,0.02,0.0,1.0,0.0,,,,0.001852,[-0.00037394  0.00088865 -0.00040072],0.001044,False
-0.07,-0.03,0.03,0.0,1.0,0.0,,,,0.002287,[-0.00045509  0.00103342 -0.00043414],0.00121,False
-0.07,-0.03,0.04,0.0,1.0,0.0,,,,0.002923,[-0.00054983  0.00119206 -0.00045745],0.00139,False
-0.07,-0.03,0.05,0.0,1.0,0.0,,,,0.003779,[-0.00065854  0.00136118 -0.00046408],0.001582,False
-0.07,-0.03,0.06,0.0,1.0,0.0,,,,0.004848,[-0.00078061  0.00153467 -0.00044557],0.001779,False
-0.07,-0.03,0.07,0.0,1.0,0.0,,,,0.00608,[-0.00091374  0.00170261 -0.00039161],0.001972,False
-0.07,-0.02,-0.07,0.0,1.0,0.0,,,,0.001191,[-3.70564927e-05  2.05216064e-04 -7.48741894e-05],0.000222,False
-0.07,-0.02,-0.06,0.0,1.0,0.0,,,,0.001223,[-4.59867047e-05  2.44791922e-04 -8.84674631e-05],0.000264,False
-0.07,-0.02,-0.05,0.0,1.0,0.0,,,,0.001247,[-5.70900321e-05  2.91581657e-04 -1.04186320e-04],0.000315,False
-0.07,-0.02,-0.04,0.0,1.0,0.0,,,,0.001263,[-7.08607151e-05  3.46722817e-04 -1.22172238e-04],0.000374,False
-0.07,-0.02,-0.03,0.0,1.0,0.0,,,,0.001274,[-8.78793216e-05  4.11430533e-04 -1.42474322e-04],0.000444,False
-0.07,-0.02,-0.02,0.0,1.0,0.0,,,,0.001284,[-0.00010881  0.00048695 -0.00016499],0.000526,False
-0.07,-0.02,-0.01,0.0,1.0,0.0,,,,0.00131,[-0.00013441  0.00057446 -0.00018939],0.00062,False
-0.07,-0.02,0.0,0.0,1.0,0.0,,,,0.001379,[-0.00016548  0.00067497 -0.00021502],0.000727,False
-0.07,-0.02,0.01,0.0,1.0,0.0,,,,0.001534,[-0.00020286  0.0007891  -0.00024076],0.00085,False
-0.07,-0.02,0.02,0.0,1.0,0.0,,,,0.001822,[-0.00024734  0.00091688 -0.00026494],0.000986,False
-0.07,-0.02,0.03,0.0,1.0,0.0,,,,0.002283,[-0.0002996   0.00105734 -0.00028512],0.001135,False
-0.07,-0.02,0.04,0.0,1.0,0.0,,,,0.002942,[-0.00036008  0.00120814 -0.000298  ],0.001295,False
-0.07,-0.02,0.05,0.0,1.0,0.0,,,,0.003806,[-0.00042874  0.00136501 -0.00029925],0.001462,False
-0.07,-0.02,0.06,0.0,1.0,0.0,,,,0.004859,[-0.00050481  0.00152112 -0.00028347],0.001628,False
-0.07,-0.02,0.07,0.0,1.0,0.0,,,,0.006045,[-0.00058635  0.00166641 -0.00024434],0.001783,False
-0.07,-0.01,-0.07,0.0,1.0,0.0,,,,0.00118,[-1.86900058e-05  2.13225094e-04 -3.78538816e-05],0.000217,False
-0.07,-0.01,-0.06,0.0,1.0,0.0,,,,0.001208,[-2.31783927e-05  2.54123073e-04 -4.46937030e-05],0.000259,False
-0.07,-0.01,-0.05,0.0,1.0,0.0,,,,0.001228,[-2.87502809e-05  3.02355695e-04 -5.25862760e-05],0.000308,False
-0.07,-0.01,-0.04,0.0,1.0,0.0,,,,0.001239,[-3.56479096e-05  3.59019589e-04 -6.15934148e-05],0.000366,False
-0.07,-0.01,-0.03,0.0,1.0,0.0,,,,0.001245,[-4.41539469e-05  4.25257666e-04 -7.17273867e-05],0.000434,False
-0.07,-0.01,-0.02,0.0,1.0,0.0,,,,0.001252,[-5.45909346e-05  5.02197788e-04 -8.29211347e-05],0.000512,False
-0.07,-0.01,-0.01,0.0,1.0,0.0,,,,0.001277,[-6.73165203e-05  5.90857332e-04 -9.49893332e-05],0.000602,False
-0.07,-0.01,0.0,0.0,1.0,0.0,,,,0.001351,[-8.27125575e-05  6.92003767e-04 -1.07579619e-04],0.000705,False
-0.07,-0.01,0.01,0.0,1.0,0.0,,,,0.001519,[-0.00010117  0.00080596 -0.00012011],0.000821,False
-0.07,-0.01,0.02,0.0,1.0,0.0,,,,0.001828,[-0.00012304  0.00093235 -0.00013172],0.00095,False
-0.07,-0.01,0.03,0.0,1.0,0.0,,,,0.002314,[-0.00014861  0.00106977 -0.00014118],0.001089,False
-0.07,-0.01,0.04,0.0,1.0,0.0,,,,0.002995,[-0.00017804  0.00121537 -0.00014682],0.001237,False
-0.07,-0.01,0.05,0.0,1.0,0.0,,,,0.003872,[-0.00021123  0.00136441 -0.0001465 ],0.001388,False
-0.07,-0.01,0.06,0.0,1.0,0.0,,,,0.004926,[-0.0002477   0.00150973 -0.00013761],0.001536,False
-0.07,-0.01,0.07,0.0,1.0,0.0,,,,0.006094,[-0.00028637  0.00164128 -0.00011716],0.00167,False
-0.07,0.0,-0.07,0.0,1.0,0.0,,,,0.001176,[-6.77626358e-20  2.15904768e-04 -1.35525272e-19],0.000216,False
-0.07,0.0,-0.06,0.0,1.0,0.0,,,,0.001203,[-2.98155597e-19  2.57239851e-04  1.62630326e-19],0.000257,False
-0.07,0.0,-0.05,0.0,1.0,0.0,,,,0.001221,[ 2.71050543e-20  3.05946881e-04 -1.08420217e-19],0.000306,False
-0.07,0.0,-0.04,0.0,1.0,0.0,,,,0.001232,[ 2.71050543e-20  3.63107634e-04 -2.71050543e-19],0.000363,False
-0.07,0.0,-0.03,0.0,1.0,0.0,,,,0.001236,[-2.98155597e-19  4.29839489e-04 -4.33680869e-19],0.00043,False
-0.07,0.0,-0.02,0.0,1.0,0.0,,,,0.001242,[-2.71050543e-20  5.07230519e-04 -5.42101086e-20],0.000507,False
