x,y,z,fp_x,fp_y,fp_z,B.tot,B.tot.mag,B.canc,B.canc.mag,B.RMF,B.RMF.mag,is.rot
-0.01,0.0,0.01,0.0,1.0,0.0,,,,0.000798,[-4.74338450e-20  1.16167957e-03 -5.42101086e-19],0.001162,True
-0.01,0.0,0.02,0.0,1.0,0.0,,,,0.000798,[ 2.71050543e-20  1.32030718e-03 -8.67361738e-19],0.00132,True
-0.01,0.01,-0.02,0.0,1.0,0.0,,,,0.000798,[7.25915845e-06 7.76677560e-04 1.05682418e-04],0.000784,True
-0.01,0.01,-0.01,0.0,1.0,0.0,,,,0.000798,[8.68376999e-06 8.89306307e-04 1.19630019e-04],0.000897,True
-0.01,0.01,0.0,0.0,1.0,0.0,,,,0.000798,[1.03751600e-05 1.01659752e-03 1.34706886e-04],0.001026,True
-0.01,0.01,0.01,0.0,1.0,0.0,,,,0.000798,[1.23732802e-05 1.15964060e-03 1.50704278e-04],0.001169,True
-0.01,0.01,0.02,0.0,1.0,0.0,,,,0.000798,[1.47193080e-05 1.31926101e-03 1.67271536e-04],0.00133,True
-0.01,0.02,-0.02,0.0,1.0,0.0,,,,0.000798,[1.45224909e-05 7.67332359e-04 2.11405953e-04],0.000796,True
-0.01,0.02,-0.01,0.0,1.0,0.0,,,,0.000798,[1.73929040e-05 8.80235582e-04 2.39641678e-04],0.000912,True
-0.01,0.02,0.0,0.0,1.0,0.0,,,,0.000798,[2.08083290e-05 1.00841010e-03 2.70280425e-04],0.001044,True
-0.01,0.02,0.01,0.0,1.0,0.0,,,,0.000798,[2.48530535e-05 1.15318954e-03 3.02941771e-04],0.001193,True
-0.01,0.02,0.02,0.0,1.0,0.0,,,,0.000798,[2.96150434e-05 1.31570233e-03 3.36964014e-04],0.001358,True
0.0,-0.02,-0.02,0.0,1.0,0.0,,,,0.000798,[-2.51462906e-20  7.70975255e-04 -2.12722674e-04],0.0008,True
0.0,-0.02,-0.01,0.0,1.0,0.0,,,,0.000798,[-1.90847111e-20  8.84612651e-04 -2.41211918e-04],0.000917,True
0.0,-0.02,0.0,0.0,1.0,0.0,,,,0.000798,[-2.48286533e-20  1.01366587e-03 -2.72145154e-04],0.00105,True
0.0,-0.02,0.01,0.0,1.0,0.0,,,,0.000798,[-4.82808780e-20  1.15949270e-03 -3.05144617e-04],0.001199,True
0.0,-0.02,0.02,0.0,1.0,0.0,,,,0.000798,[-3.42783646e-20  1.32324749e-03 -3.39549561e-04],0.001366,True
0.0,-0.01,-0.02,0.0,1.0,0.0,,,,0.000798,[-1.60142167e-20  7.80317807e-04 -1.06336585e-04],0.000788,True
